brand,category,model,part_type,product_name,price,sku
Apple,iPhone,iPhone 8,screen,iPhone 8 Screen,14.0,XLS-0001
Apple,iPhone,iPhone 8 Plus,screen,iPhone 8 Plus Screen,15.0,XLS-0002
Apple,iPhone,iPhone XR,screen,iPhone XR Screen,16.0,XLS-0003
Apple,iPhone,iPhone X,screen,iPhone X Screen,15.0,XLS-0004
Apple,iPhone,iPhone XS,screen,iPhone XS Screen,15.0,XLS-0005
Apple,iPhone,iPhone XS Max,screen,iPhone XS Max Screen,17.0,XLS-0006
Apple,iPhone,iPhone 11,screen,iPhone 11 Screen,15.0,XLS-0007
Apple,iPhone,iPhone 11 Pro,screen,iPhone 11 Pro Screen,16.0,XLS-0008
Apple,iPhone,iPhone 11 Pro Max,screen,iPhone 11 Pro Max Screen,17.0,XLS-0009
Apple,iPhone,iPhone 12,screen,iPhone 12 Screen,17.0,XLS-0010
Apple,iPhone,iPhone 12 Pro Max,screen,iPhone 12 Pro Max Screen,23.0,XLS-0011
Apple,iPhone,iPhone 12 Mini,screen,iPhone 12 Mini Screen,20.0,XLS-0012
Apple,iPhone,iPhone 13,screen,iPhone 13 Screen,23.0,XLS-0013
Apple,iPhone,iPhone 13 Mini,screen,iPhone 13 Mini Screen,20.0,XLS-0014
Apple,iPhone,iPhone 13 Pro,screen,iPhone 13 Pro Screen,28.0,XLS-0015
Apple,iPhone,iPhone 13 Pro Max,screen,iPhone 13 Pro Max Screen,30.0,XLS-0016
Apple,iPhone,iPhone 13 Pro Max,screen,iPhone 13 Pro Max Screen (Soft Oled),45.0,XLS-0017
Apple,iPhone,iPhone 14,screen,iPhone 14 Screen,22.0,XLS-0018
Apple,iPhone,iPhone 14 Pro,screen,iPhone 14 Pro Screen,30.0,XLS-0019
Apple,iPhone,iPhone 14 Pro,screen,iPhone 14 Pro Screen (Soft Oled),60.0,XLS-0020
Apple,iPhone,iPhone 14 Pro Max,screen,iPhone 14 Pro Max Screen,33.0,XLS-0021
Apple,iPhone,iPhone 14 Pro Max,screen,iPhone 14 Pro Max Screen (Oem),55.0,XLS-0022
Apple,iPhone,iPhone 14 Plus,screen,iPhone 14 Plus Screen,27.0,XLS-0023
Apple,iPhone,iPhone 15,screen,iPhone 15 Screen,26.0,XLS-0024
Apple,iPhone,iPhone 15 Pro,screen,iPhone 15 Pro Screen,30.0,XLS-0025
Apple,iPhone,iPhone 15 Pro,screen,iPhone 15 Pro Screen (Oem),60.0,XLS-0026
Apple,iPhone,iPhone 15 Pro Max,screen,iPhone 15 Pro Max Screen,35.0,XLS-0027
Apple,iPhone,iPhone 15 Pro Max,screen,iPhone 15 Pro Max Screen (Oem),60.0,XLS-0028
Apple,iPhone,iPhone 15 Plus,screen,iPhone 15 Plus Screen,30.0,XLS-0029
Apple,iPhone,iPhone 16,screen,iPhone 16 Screen,28.0,XLS-0030
Apple,iPhone,iPhone 16 Pro,screen,iPhone 16 Pro Screen,43.0,XLS-0031
Apple,iPhone,iPhone 16 Pro,screen,iPhone 16 Pro Screen (Oem),77.0,XLS-0032
Apple,iPhone,iPhone 16 Pro Max,screen,iPhone 16 Pro Max Screen,43.0,XLS-0033
Apple,iPhone,iPhone 16 Pro Max,screen,iPhone 16 Pro Max Screen (Soft Oled),77.0,XLS-0034
Apple,iPhone,iPhone 16e,screen,iPhone 16e Screen,30.0,XLS-0035
Apple,iPhone,iPhone 16 Plus,screen,iPhone 16 Plus Screen,35.0,XLS-0036
Apple,iPhone,iPhone 17,screen,iPhone 17 Screen,55.0,XLS-0037
Apple,iPhone,iPhone 17 Pro,screen,iPhone 17 Pro Screen,50.0,XLS-0038
Apple,iPhone,iPhone 17 Pro Max,screen,iPhone 17 Pro Max Screen,50.0,XLS-0039
Samsung,Galaxy,Galaxy A03,screen,Galaxy A03 Screen,14.0,XLS-0040
Samsung,Galaxy,Galaxy A02,screen,Galaxy A02 Screen,14.0,XLS-0041
Samsung,Galaxy,Galaxy A03,screen,Galaxy A03 Screen,14.0,XLS-0042
Samsung,Galaxy,Galaxy A03,screen,Galaxy A03 Screen,14.0,XLS-0043
Samsung,Galaxy,Galaxy A04,screen,Galaxy A04 Screen,14.0,XLS-0044
Samsung,Galaxy,Galaxy A04,screen,Galaxy A04 Screen,14.0,XLS-0045
Samsung,Galaxy,Galaxy A12,screen,Galaxy A12 Screen,14.0,XLS-0046
Samsung,Galaxy,Galaxy A13,screen,Galaxy A13 Screen,14.0,XLS-0047
Samsung,Galaxy,Galaxy A13,screen,Galaxy A13 Screen,14.0,XLS-0048
Samsung,Galaxy,Galaxy A13,screen,Galaxy A13 Screen,14.0,XLS-0049
